CommunityID	SubCommunityID	Modularity	Topic	SubTopic	RefID	Volume	Page	Lable	Title	Keywords	firstAU	Journal	Year	Citation	DOI	Degree	Closeness	Betweenness
4	1	0.405584			10771	24	563	Das A, J OPER MANAG, 2006			Das A	J OPER MANAG	2006	19	10.1016/j.jom.2005.09.003	0.030201	0.228867	0.003077
4	4	0.405584			2597	18	191	Carter CR, J OPER MANAG, 2000			Carter CR	J OPER MANAG	2000	13	10.1016/S0272-6963(99)00016-9	0.006711	0.166982	0.000011
4	3	0.405584			18014	26	446	Lawson B, J OPER MANAG, 2008			Lawson B	J OPER MANAG	2008	7	10.1016/j.jom.2007.10.001	0.006711	0.156645	0.000000
4	3	0.405584			13970	25	482	Ireland RD, J OPER MANAG, 2007			Ireland RD	J OPER MANAG	2007	11	10.1016/j.jom.2006.05.004	0.003356	0.166372	0.000000
4	4	0.405584			6805	18	279	Mccutcheon D, J OPER MANAG, 2000			Mccutcheon D	J OPER MANAG	2000	11	10.1016/S0272-6963(99)00026-1	0.006711	0.201301	0.001623
4	3	0.405584			12970	24	604	Cousins PD, J OPER MANAG, 2006			Cousins PD	J OPER MANAG	2006	18	10.1016/j.jom.2005.09.001	0.030201	0.228293	0.008103
4	0	0.405584			8875	21	541	Hult GTA, J OPER MANAG, 2003			Hult GTA	J OPER MANAG	2003	11	10.1016/j.jom.2003.02.001	0.003356	0.184577	0.000000
4	2	0.405584			696	16	241	Bozarth C, J OPER MANAG, 1998			Bozarth C	J OPER MANAG	1998	10	10.1016/S0272-6963(97)00040-5	0.003356	0.200858	0.000000
4	2	0.405584			2790	17	39	Krause DR, J OPER MANAG, 1998			Krause DR	J OPER MANAG	1998	21	10.1016/S0272-6963(98)00030-8	0.013423	0.212576	0.000000
4	2	0.405584			2791	17	205	Krause DR, J OPER MANAG, 1999			Krause DR	J OPER MANAG	1999	27	10.1016/S0272-6963(98)00038-2	0.026846	0.225747	0.008730
4	1	0.405584			8936	21	437	Rosenzweig ED, J OPER MANAG, 2003			Rosenzweig ED	J OPER MANAG	2003	26	10.1016/S0272-6963(03)00037-8	0.060403	0.268699	0.041043
4	0	0.405584			7804	23	371	Petersen KJ, J OPER MANAG, 2005			Petersen KJ	J OPER MANAG	2005	27	10.1016/j.jom.2004.07.009	0.043624	0.228867	0.010724
4	1	0.405584			18155	27	324	Mishra AA, J OPER MANAG, 2009			Mishra AA	J OPER MANAG	2009	7	10.1016/j.jom.2008.10.001	0.003356	0.220822	0.000000
4	4	0.405584			11043	23	1	Benton WC, J OPER MANAG, 2005			Benton WC	J OPER MANAG	2005	23	10.1016/j.jom.2004.09.002	0.023490	0.211589	0.004327
4	2	0.405584			828	16	387	O'leary-kelly SW, J OPER MANAG, 1998			O'leary-kelly SW	J OPER MANAG	1998	49	10.1016/S0272-6963(98)00020-5	0.083893	0.278559	0.045232
4	1	0.405584			19264	28	58	Flynn BB, J OPER MANAG, 2010			Flynn BB	J OPER MANAG	2010	16	10.1016/j.jom.2009.06.001	0.016779	0.232666	0.000130
4	1	0.405584			18245	25	148	Swink M, J OPER MANAG, 2007			Swink M	J OPER MANAG	2007	14	10.1016/j.jom.2006.02.006	0.023490	0.227438	0.000269
4	1	0.405584			4936	11	33	Mcafee A, PROD OPER MANAG, 2002			Mcafee A	PROD OPER MANAG	2002	18	NA	0.003356	0.220822	0.000000
4	1	0.405584			11087	22	557	Droge C, J OPER MANAG, 2004			Droge C	J OPER MANAG	2004	12	10.1016/j.jom.2004.08.001	0.013423	0.223531	0.000020
4	2	0.405584			4983	19	287	Stanley LL, J OPER MANAG, 2001			Stanley LL	J OPER MANAG	2001	12	10.1016/S0272-6963(00)00052-8	0.003356	0.200858	0.000000
4	2	0.405584			4945	18	317	Shin H, J OPER MANAG, 2000			Shin H	J OPER MANAG	2000	23	10.1016/S0272-6963(99)00031-5	0.030201	0.240340	0.001437
2	2	0.420607			16396	26	630	Zu XX, J OPER MANAG, 2008			Zu XX	J OPER MANAG	2008	9	10.1016/j.jom.2008.02.001	0.010067	0.158968	0.000052
2	1	0.420607			2067	15	1	Terziovski MILE, J OPERATIONS MANAGEM, 1997			Terziovski MILE	J OPERATIONS MANAGEM	1997	17	10.1016/S0272-6963(96)00103-9	0.016779	0.197162	0.000038
2	1	0.420607			2140	8	1	Dow D, PROD OPER MANAG, 1999			Dow D	PROD OPER MANAG	1999	36	NA	0.053691	0.243553	0.005728
2	1	0.420607			2163	17	393	Samson D, J OPER MANAG, 1999			Samson D	J OPER MANAG	1999	41	10.1016/S0272-6963(98)00046-1	0.053691	0.233861	0.007315
2	0	0.420607			11454	23	618	Li SH, J OPER MANAG, 2005			Li SH	J OPER MANAG	2005	13	10.1016/j.jom.2005.01.002	0.003356	0.197804	0.000000
2	0	0.420607			11459	24	440	Narasimhan R, J OPER MANAG, 2006			Narasimhan R	J OPER MANAG	2006	11	10.1016/j.jom.2005.11.011	0.006711	0.229732	0.000000
2	1	0.420607			2289	12	27	Adam E, J OPERATIONS MANAGEM, 1994			Adam E	J OPERATIONS MANAGEM	1994	9	10.1016/0272-6963(94)90004-3	0.010067	0.196736	0.000000
2	1	0.420607			5393	19	403	Meyer SM, J OPER MANAG, 2001			Meyer SM	J OPER MANAG	2001	12	10.1016/S0272-6963(01)00053-5	0.003356	0.196312	0.000000
2	3	0.420607			2375	16	341	Amundson SD, J OPER MANAG, 1998			Amundson SD	J OPER MANAG	1998	29	10.1016/S0272-6963(98)00018-7	0.036913	0.238141	0.016130
2	0	0.420607			13687	25	785	Shah R, J OPER MANAG, 2007			Shah R	J OPER MANAG	2007	10	10.1016/j.jom.2007.01.019	0.003356	0.197804	0.000000
2	2	0.420607			13688	25	83	Sila I, J OPER MANAG, 2007			Sila I	J OPER MANAG	2007	14	10.1016/j.jom.2006.02.003	0.016779	0.197590	0.005251
2	0	0.420607			5500	19	675	Cua KO, J OPER MANAG, 2001			Cua KO	J OPER MANAG	2001	27	10.1016/S0272-6963(01)00066-3	0.067114	0.245854	0.025287
2	0	0.420607			5513	19	39	Mckone KE, J OPER MANAG, 2001			Mckone KE	J OPER MANAG	2001	9	10.1016/S0272-6963(00)00030-9	0.006711	0.211343	0.000000
2	0	0.420607			8625	22	247	Ketokivi MA, J OPER MANAG, 2004			Ketokivi MA	J OPER MANAG	2004	21	10.1016/j.jom.2002.07.001	0.013423	0.228007	0.004716
2	1	0.420607			2291	18	549	Ahire SL, J OPER MANAG, 2000			Ahire SL	J OPER MANAG	2000	16	10.1016/S0272-6963(00)00029-2	0.023490	0.231484	0.000535
2	1	0.420607			2296	17	59	Choi TY, J OPER MANAG, 1998			Choi TY	J OPER MANAG	1998	29	10.1016/S0272-6963(98)00031-X	0.036913	0.236902	0.001805
2	0	0.420607			8672	23	43	Rungtusanatham A, J OPER MANAG, 2005			Rungtusanatham A	J OPER MANAG	2005	10	10.1016/j.jom.2004.10.002	0.006711	0.187619	0.000504
2	1	0.420607			2300	15	0	Forker l B, Journal of Operations Management, 1997			Forker l B	Journal of Operations Management	1997	8	NA	0.003356	0.196312	0.000000
2	0	0.420607			518	2	0	Sakakibara S, Production and Operations Management, 1993			Sakakibara S	Production and Operations Management	1993	19	NA	0.010067	0.202195	0.000158
2	1	0.420607			5749	20	91	Sousa R, J OPER MANAG, 2002			Sousa R	J OPER MANAG	2002	17	10.1016/S0272-6963(01)00088-2	0.030201	0.221628	0.001005
2	1	0.420607			5750	10	383	Sousa R, PROD OPER MANAG, 2001			Sousa R	PROD OPER MANAG	2001	19	NA	0.030201	0.224911	0.014522
2	1	0.420607			4884	17	77	Rungtusanatham M, J OPER MANAG, 1998			Rungtusanatham M	J OPER MANAG	1998	14	10.1016/S0272-6963(98)00032-1	0.016779	0.197162	0.000000
2	1	0.420607			647	11	0	Flynn B B, Journal of Operations Management, 1994			Flynn B B	Journal of Operations Management	1994	69	NA	0.110738	0.261750	0.075182
2	3	0.420607			3763	16	361	Wacker JG, J OPER MANAG, 1998			Wacker JG	J OPER MANAG	1998	15	10.1016/S0272-6963(98)00019-9	0.003356	0.182726	0.000000
2	1	0.420607			6844	8	28	Anderson SW, PROD OPER MANAG, 1999			Anderson SW	PROD OPER MANAG	1999	15	NA	0.006711	0.196524	0.000000
2	2	0.420607			17085	26	697	Sousa R, J OPER MANAG, 2008			Sousa R	J OPER MANAG	2008	16	10.1016/j.jom.2008.06.001	0.003356	0.157866	0.000000
2	3	0.420607			6871	19	143	St john CH, J OPER MANAG, 2001			St john CH	J OPER MANAG	2001	7	10.1016/S0272-6963(00)00054-1	0.003356	0.182726	0.000000
2	0	0.420607			8958	21	383	Fullerton RR, J OPER MANAG, 2003			Fullerton RR	J OPER MANAG	2003	15	10.1016/S0272-6963(03)00002-0	0.013423	0.209882	0.019327
2	0	0.420607			6920	21	0	Ahmad S, Journal of Operations Management, 2003			Ahmad S	Journal of Operations Management	2003	14	NA	0.006711	0.177044	0.000011
2	0	0.420607			1824	12	0	Huson M, Journal of Operations Management, 1995			Huson M	Journal of Operations Management	1995	16	NA	0.003356	0.165616	0.000000
2	2	0.420607			14121	24	779	Linderman K, J OPER MANAG, 2006			Linderman K	J OPER MANAG	2006	9	10.1016/j.jom.2005.08.005	0.006711	0.158416	0.000000
2	2	0.420607			14123	24	948	Nair A, J OPER MANAG, 2006			Nair A	J OPER MANAG	2006	12	10.1016/j.jom.2005.11.005	0.016779	0.197804	0.002585
2	2	0.420607			14127	26	536	Schroeder RG, J OPER MANAG, 2008			Schroeder RG	J OPER MANAG	2008	10	10.1016/j.jom.2007.06.007	0.010067	0.158692	0.000016
2	0	0.420607			12088	25	420	Holweg M, J OPER MANAG, 2007			Holweg M	J OPER MANAG	2007	8	10.1016/j.jom.2006.04.001	0.003356	0.197804	0.000000
2	1	0.420607			4920	19	269	Hendricks KB, J OPER MANAG, 2001			Hendricks KB	J OPER MANAG	2001	19	10.1016/S0272-6963(00)00049-8	0.026846	0.204694	0.000674
2	0	0.420607			1913	15	0	Mclachlin R, Journal of Operations Management, 1997			Mclachlin R	Journal of Operations Management	1997	10	NA	0.010067	0.203551	0.000106
2	0	0.420607			9096	21	129	Shah R, J OPER MANAG, 2003			Shah R	J OPER MANAG	2003	32	10.1016/S0272-6963(02)00108-0	0.057047	0.264409	0.042095
2	1	0.420607			6046	21	405	Kaynak H, J OPER MANAG, 2003			Kaynak H	J OPER MANAG	2003	26	10.1016/S0272-6963(03)00004-4	0.050336	0.227154	0.004849
2	1	0.420607			15263	10	494	Fynes B, PROD OPER MANAG, 2001			Fynes B	PROD OPER MANAG	2001	8	NA	0.003356	0.174835	0.000000
2	0	0.420607			9158	6	0	Hopp w J, Manufacturing & Service Operations Management, 2004			Hopp w J	Manufacturing & Service Operations Management	2004	11	NA	0.006711	0.203323	0.000000
2	2	0.420607			8146	21	193	Linderman K, J OPER MANAG, 2003			Linderman K	J OPER MANAG	2003	18	10.1016/S0272-6963(02)00087-6	0.023490	0.198235	0.012980
2	1	0.420607			508	17	123	Mckone KE, J OPER MANAG, 1999			Mckone KE	J OPER MANAG	1999	8	10.1016/S0272-6963(98)00039-4	0.003356	0.196312	0.000000
2	3	0.420607			3069	16	311	Melnyk SA, J OPER MANAG, 1998			Melnyk SA	J OPER MANAG	1998	8	10.1016/S0272-6963(98)00027-8	0.003356	0.182726	0.000000
1	0	0.305298			5123	9	111	Safizadeh MH, PROD OPER MANAG, 2000			Safizadeh MH	PROD OPER MANAG	2000	18	NA	0.040268	0.227722	0.000259
1	2	0.305298			5456	11	9	Boyer KK, PROD OPER MANAG, 2002			Boyer KK	PROD OPER MANAG	2002	34	NA	0.073826	0.262504	0.018035
1	2	0.305298			18	9	168	Ferdows K, J OPERATIONS MANAGEM, 1990			Ferdows K	J OPERATIONS MANAGEM	1990	61	10.1016/0272-6963(90)90094-T	0.151007	0.304645	0.138621
1	2	0.305298			11289	22	439	Flynn BB, J OPER MANAG, 2004			Flynn BB	J OPER MANAG	2004	16	10.1016/j.jom.2004.03.002	0.026846	0.238765	0.001176
1	0	0.305298			4130	5	42	Clark k B, PRODUCTION OPERATION, 1996			Clark k B	PRODUCTION OPERATION	1996	14	NA	0.026846	0.226027	0.000074
1	0	0.305298			11305	12	79	Ramdas K, PROD OPER MANAG, 2003			Ramdas K	PROD OPER MANAG	2003	24	NA	0.003356	0.181814	0.000000
1	2	0.305298			56	15	0	Vickery s K, Journal of Operations Management, 1997			Vickery s K	Journal of Operations Management	1997	22	NA	0.033557	0.261000	0.007930
1	2	0.305298			59	13	99	Ward PT, J OPERATIONS MANAGEM, 1995			Ward PT	J OPERATIONS MANAGEM	1995	27	10.1016/0272-6963(95)00021-J	0.036913	0.240976	0.008969
1	2	0.305298			61	13	0	Williams f P, Journal of Operations Management, 1995			Williams f P	Journal of Operations Management	1995	7	NA	0.003356	0.184391	0.000000
1	0	0.305298			2111	5	59	Wheelwright SC, PRODUCTION OPERATION, 1996			Wheelwright SC	PRODUCTION OPERATION	1996	12	NA	0.023490	0.224357	0.000522
1	2	0.305298			67	8	133	Anderson JC, J OPERATIONS MANAGEM, 1989			Anderson JC	J OPERATIONS MANAGEM	1989	18	10.1016/0272-6963(89)90016-8	0.006711	0.227154	0.000000
1	1	0.305298			72	15	0	Boyer K K, Journal of Operations Management, 1997			Boyer K K	Journal of Operations Management	1997	32	NA	0.040268	0.239393	0.012944
1	2	0.305298			9385	13	123	Lapre MA, PROD OPER MANAG, 2004			Lapre MA	PROD OPER MANAG	2004	12	NA	0.010067	0.220822	0.000000
1	0	0.305298			2279	17	97	Schmenner RW, J OPER MANAG, 1998			Schmenner RW	J OPER MANAG	1998	54	10.1016/S0272-6963(98)00028-X	0.083893	0.280705	0.038975
1	2	0.305298			3321	17	411	Tracey M, J OPER MANAG, 1999			Tracey M	J OPER MANAG	1999	6	10.1016/S0272-6963(98)00045-X	0.003356	0.219491	0.000000
1	1	0.305298			251	16	427	Bozarth C, J OPER MANAG, 1998			Bozarth C	J OPER MANAG	1998	20	10.1016/S0272-6963(98)00022-9	0.010067	0.227438	0.000000
1	1	0.305298			261	14	0	Boyer K K, Journal of Operations Management, 1996			Boyer K K	Journal of Operations Management	1996	24	NA	0.020134	0.229155	0.000219
1	1	0.305298			2322	18	361	Boyer KK, J OPER MANAG, 2000			Boyer KK	J OPER MANAG	2000	21	10.1016/S0272-6963(99)00029-7	0.023490	0.230023	0.000259
1	0	0.305298			289	3	0	Vickery s K, Production and Operations Management, 1994			Vickery s K	Production and Operations Management	1994	16	NA	0.033557	0.231778	0.001204
1	2	0.305298			294	15	0	Bozarth C, Journal of Operations Management, 1997			Bozarth C	Journal of Operations Management	1997	13	NA	0.003356	0.219491	0.000000
1	1	0.305298			2364	18	257	Kotha S, J OPER MANAG, 2000			Kotha S	J OPER MANAG	2000	11	10.1016/S0272-6963(99)00025-X	0.010067	0.222439	0.001073
1	1	0.305298			326	9	250	Flynn B B, J OPERATIONS MANAGEM, 1990			Flynn B B	J OPERATIONS MANAGEM	1990	69	10.1016/0272-6963(90)90098-X	0.110738	0.288256	0.092313
1	0	0.305298			1362	5	3	Skinner W, PRODUCTION OPERATION, 1996			Skinner W	PRODUCTION OPERATION	1996	24	NA	0.036913	0.228293	0.000994
1	0	0.305298			1371	7	243	Gupta YP, PRODUCTION OPERATION, 1998			Gupta YP	PRODUCTION OPERATION	1998	9	NA	0.010067	0.221898	0.000000
1	1	0.305298			357	17	145	Smith TM, J OPER MANAG, 1999			Smith TM	J OPER MANAG	1999	7	10.1016/S0272-6963(98)00037-0	0.003356	0.210854	0.000000
1	1	0.305298			359	13	0	Verma R, Journal of Operations Management, 1995			Verma R	Journal of Operations Management	1995	12	NA	0.006711	0.212576	0.000000
1	2	0.305298			366	17	289	Boyer KK, J OPER MANAG, 1999			Boyer KK	J OPER MANAG	1999	16	10.1016/S0272-6963(98)00042-4	0.006711	0.221898	0.000000
1	1	0.305298			7583	20	549	Salvador F, J OPER MANAG, 2002			Salvador F	J OPER MANAG	2002	18	10.1016/S0272-6963(02)00027-X	0.003356	0.150064	0.000000
1	2	0.305298			2593	18	123	Ward PT, J OPER MANAG, 2000			Ward PT	J OPER MANAG	2000	25	10.1016/S0272-6963(99)00021-2	0.033557	0.249559	0.001656
1	1	0.305298			3673	18	605	Duray R, J OPER MANAG, 2000			Duray R	J OPER MANAG	2000	22	10.1016/S0272-6963(00)00043-7	0.010067	0.185517	0.005253
1	1	0.305298			2321	9	128	Boyer KK, PROD OPER MANAG, 2000			Boyer KK	PROD OPER MANAG	2000	22	NA	0.013423	0.221358	0.000116
1	1	0.305298			2684	17	343	Hensley RL, J OPER MANAG, 1999			Hensley RL	J OPER MANAG	1999	20	10.1016/S0272-6963(98)00051-5	0.013423	0.224911	0.000000
1	2	0.305298			2717	14	315	White g P, J OPERATIONS MANAGEM, 1996			White g P	J OPERATIONS MANAGEM	1996	20	10.1016/S0272-6963(96)00096-4	0.030201	0.224634	0.000075
1	1	0.305298			6851	19	541	Frohlich MT, J OPER MANAG, 2001			Frohlich MT	J OPER MANAG	2001	14	10.1016/S0272-6963(01)00063-8	0.010067	0.220554	0.000000
1	0	0.305298			6874	18	353	Vastag G, J OPER MANAG, 2000			Vastag G	J OPER MANAG	2000	9	10.1016/S0272-6963(99)00024-8	0.010067	0.223531	0.000000
1	2	0.305298			11018	13	354	Rosenzweig ED, PROD OPER MANAG, 2004			Rosenzweig ED	PROD OPER MANAG	2004	27	NA	0.046980	0.251975	0.012075
1	0	0.305298			302	5	25	Hayes r H, PRODUCTION OPERATION, 1996			Hayes r H	PRODUCTION OPERATION	1996	36	NA	0.070470	0.236595	0.008735
1	1	0.305298			845	17	23	Swamidass PM, J OPER MANAG, 1998			Swamidass PM	J OPER MANAG	1998	11	10.1016/S0272-6963(98)00016-3	0.006711	0.183647	0.000000
1	1	0.305298			930	16	407	Malhotra MK, J OPER MANAG, 1998			Malhotra MK	J OPER MANAG	1998	43	10.1016/S0272-6963(98)00021-7	0.040268	0.236288	0.025253
1	2	0.305298			328	17	249	Flynn BB, J OPER MANAG, 1999			Flynn BB	J OPER MANAG	1999	21	10.1016/S0272-6963(98)00050-3	0.060403	0.241615	0.003367
1	0	0.305298			2038	5	15	Skinner W, PRODUCTION OPERATION, 1996			Skinner W	PRODUCTION OPERATION	1996	13	NA	0.016779	0.221358	0.000005
1	1	0.305298			4095	18	627	Kathuria R, J OPER MANAG, 2000			Kathuria R	J OPER MANAG	2000	22	10.1016/S0272-6963(00)00042-5	0.030201	0.231190	0.004818
7	4	0.549685			19688	16	780	Smith JS, PROD OPER MANAG, 2007			Smith JS	PROD OPER MANAG	2007	7	NA	0.003356	0.112734	0.000000
7	1	0.549685			337	12	0	Karmarkar u S, Journal of Operations Management, 1995			Karmarkar u S	Journal of Operations Management	1995	11	NA	0.006711	0.132013	0.015592
7	1	0.549685			344	9	391	Mersha T, J OPERATIONS MANAGEM, 1990			Mersha T	J OPERATIONS MANAGEM	1990	5	10.1016/0272-6963(90)90162-7	0.003356	0.099010	0.000000
7	2	0.549685			4523	3	273	Menor LJ, MANUFACTURING SERVIC, 1998			Menor LJ	MANUFACTURING SERVIC	1998	14	10.1287/msom.3.4.273.9969	0.003356	0.131441	0.000000
7	1	0.549685			4525	18	663	Metters R, J OPER MANAG, 2000			Metters R	J OPER MANAG	2000	9	10.1016/S0272-6963(00)00038-3	0.003356	0.099010	0.000000
7	2	0.549685			4599	8	240	Stewart DM, PROD OPER MANAG, 1999			Stewart DM	PROD OPER MANAG	1999	13	NA	0.003356	0.131441	0.000000
7	2	0.549685			9754	12	246	Stewart DM, PROD OPER MANAG, 2003			Stewart DM	PROD OPER MANAG	2003	11	NA	0.003356	0.131441	0.000000
7	2	0.549685			39455	17	235	Apte U, PROD OPER MANAG, 2008			Apte U	PROD OPER MANAG	2008	7	10.3401/poms.1080.0032	0.006711	0.131536	0.000000
7	0	0.549685			7767	3	0	Heim g R, Manufacturing & Service Operations Management, 2001			Heim g R	Manufacturing & Service Operations Management	2001	10	NA	0.010067	0.154257	0.000000
7	0	0.549685			7781	21	651	Rabinovich E, J OPER MANAG, 2004			Rabinovich E	J OPER MANAG	2004	10	10.1016/j.jom.2003.11.004	0.016779	0.154519	0.001744
7	0	0.549685			6762	20	175	Boyer KK, J OPER MANAG, 2002			Boyer KK	J OPER MANAG	2002	21	10.1016/S0272-6963(01)00093-6	0.030201	0.191363	0.111582
7	0	0.549685			6785	16	495	Soteriou AC, J OPER MANAG, 1998			Soteriou AC	J OPER MANAG	1998	12	10.1016/S0272-6963(98)00026-6	0.003356	0.153866	0.000000
7	2	0.549685			9876	12	145	Roth AV, PROD OPER MANAG, 2003			Roth AV	PROD OPER MANAG	2003	42	NA	0.043624	0.157866	0.063679
7	0	0.549685			13282	24	124	Boyer KK, J OPER MANAG, 2006			Boyer KK	J OPER MANAG	2006	8	10.1016/j.jom.2005.04.002	0.013423	0.154388	0.001725
7	4	0.549685			16080	15	432	Gupta S, PROD OPER MANAG, 2006			Gupta S	PROD OPER MANAG	2006	15	NA	0.006711	0.131631	0.005243
7	2	0.549685			10995	22	1	Froehle CA, J OPER MANAG, 2004			Froehle CA	J OPER MANAG	2004	17	10.1016/j.jom.2003.12.004	0.006711	0.155841	0.000000
7	3	0.549685			6125	20	135	Menor LJ, J OPER MANAG, 2002			Menor LJ	J OPER MANAG	2002	11	10.1016/S0272-6963(01)00091-2	0.013423	0.131727	0.000000
7	0	0.549685			11195	23	291	Thirumalai S, J OPER MANAG, 2005			Thirumalai S	J OPER MANAG	2005	11	10.1016/j.jom.2004.10.015	0.016779	0.154519	0.001744
7	3	0.549685			6104	20	159	Cook LS, J OPER MANAG, 2002			Cook LS	J OPER MANAG	2002	14	10.1016/S0272-6963(01)00094-8	0.013423	0.131727	0.000000
7	2	0.549685			37856	17	238	Spohrer J, PROD OPER MANAG, 2008			Spohrer J	PROD OPER MANAG	2008	9	10.3401/poms.1080.0027	0.006711	0.131536	0.000000
